更新时间,#genre#
2026-03-04 14:37:02,url


央视频道,#genre#
CCTV世界地理[1920x1080],http://113.104.186.190:7088/udp/239.253.43.7:5146
CCTV世界地理[1920x1080],http://113.111.109.217:4022/udp/239.253.43.24:5146
CCTV世界地理[1920x1080],http://113.111.109.217:4022/udp/239.253.43.7:5146
CCTV兵器科技[1920x1080],http://113.104.186.190:7088/udp/239.253.43.18:5146
CCTV兵器科技[1920x1080],http://113.104.186.190:7088/udp/239.253.43.9:5146
CCTV兵器科技[1920x1080],http://113.111.109.217:4022/udp/239.253.43.18:5146
CCTV兵器科技[1920x1080],http://113.111.109.217:4022/udp/239.253.43.9:5146
CCTV央视台球[1920x1080],http://113.104.186.190:7088/udp/239.253.43.11:5146
CCTV央视台球[1920x1080],http://113.104.186.190:7088/udp/239.253.43.21:5146
CCTV央视台球[1920x1080],http://113.111.109.217:4022/udp/239.253.43.11:5146
CCTV央视台球[1920x1080],http://113.111.109.217:4022/udp/239.253.43.21:5146
CCTV央视文化精品[1920x1080],http://113.104.186.190:7088/udp/239.253.43.13:5146
CCTV央视文化精品[1920x1080],http://113.104.186.190:7088/udp/239.253.43.27:5146
CCTV央视文化精品[1920x1080],http://113.111.109.217:4022/udp/239.253.43.13:5146
CCTV央视文化精品[1920x1080],http://113.111.109.217:4022/udp/239.253.43.27:5146
CCTV女性时尚[1920x1080],http://113.111.109.217:4022/udp/239.253.43.23:5146
CCTV女性时尚[1920x1080],http://113.104.186.190:7088/udp/239.253.43.23:5146
CCTV女性时尚[1920x1080],http://113.104.186.190:7088/udp/239.253.43.8:5146
CCTV女性时尚[1920x1080],http://113.111.109.217:4022/udp/239.253.43.23:5146
CCTV女性时尚[1920x1080],http://113.111.109.217:4022/udp/239.253.43.8:5146
CCTV怀旧剧场[1920x1080],http://113.104.186.190:7088/udp/239.253.43.25:5146
CCTV怀旧剧场[1920x1080],http://113.104.186.190:7088/udp/239.253.43.5:5146
CCTV怀旧剧场[1920x1080],http://113.111.109.217:4022/udp/239.253.43.25:5146
CCTV怀旧剧场[1920x1080],http://113.111.109.217:4022/udp/239.253.43.5:5146
CCTV电视指南[1920x1080],http://113.104.186.190:7088/udp/239.253.43.10:5146
CCTV电视指南[1920x1080],http://113.104.186.190:7088/udp/239.253.43.19:5146
CCTV电视指南[1920x1080],http://113.111.109.217:4022/udp/239.253.43.10:5146
CCTV电视指南[1920x1080],http://113.111.109.217:4022/udp/239.253.43.19:5146
CCTV第一剧场[1920x1080],http://113.104.186.190:7088/udp/239.253.43.15:5146
CCTV第一剧场[1920x1080],http://113.104.186.190:7088/udp/239.253.43.28:5146
CCTV第一剧场[1920x1080],http://113.111.109.217:4022/udp/239.253.43.15:5146
CCTV第一剧场[1920x1080],http://113.111.109.217:4022/udp/239.253.43.28:5146
CCTV风云剧场[1920x1080],http://113.111.109.217:4022/udp/239.253.43.16:5146
CCTV风云剧场[1920x1080],http://113.104.186.190:7088/udp/239.253.43.16:5146
CCTV风云剧场[1920x1080],http://113.104.186.190:7088/udp/239.253.43.26:5146
CCTV风云剧场[1920x1080],http://113.111.109.217:4022/udp/239.253.43.16:5146
CCTV风云剧场[1920x1080],http://113.111.109.217:4022/udp/239.253.43.26:5146
CCTV风云足球[1920x1080],http://113.111.109.217:4022/udp/239.253.43.14:5146
